NAME,STATE,COUNTY,CITY,MAX_VOLT,MIN_VOLT,LINES,LATITUDE,LONGITUDE,LON,LAT
TAP156191,AL,MADISON,HUNTSVILLE,-999999,-999999,3,34.75519001,-86.71414813,-86.71414813,34.75519000999999
TAP156192,AL,MADISON,MADISON,-999999,-999999,3,34.72887567,-86.75024133,-86.75024133,34.728875669999994
TAP155988,KY,FRANKLIN,FRANKFORT,-999999,-999999,3,38.18539614,-84.88493742,-84.88493742,38.18539614
TAP155993,KY,JEFFERSON,LOUISVILLE,69,69,3,38.22235569,-85.77377898,-85.77377898,38.22235569000001
TAP156193,AL,MADISON,HUNTSVILLE,-999999,-999999,3,34.650611,-86.750707,-86.75070700000002,34.65061099999999
TAP155989,KY,JEFFERSON,LOUISVILLE,138,138,3,38.24482323,-85.54790991,-85.54790991,38.24482323
TAP155994,IN,VANDERBURGH,EVANSVILLE,69,69,3,37.99150516,-87.52688727,-87.52688726999999,37.99150516
TAP156194,AL,MADISON,HUNTSVILLE,-999999,-999999,3,34.660971,-86.739044,-86.739044,34.66097100000001
TAP155990,KY,SCOTT,GEORGETOWN,69,69,3,38.23646976,-84.54214037,-84.54214037,38.23646975999999
TAP155995,IN,VANDERBURGH,EVANSVILLE,69,69,3,37.991202,-87.501729,-87.50172900000001,37.991202
TAP156195,AL,MADISON,HUNTSVILLE,-999999,-999999,3,34.669583,-86.738772,-86.738772,34.669583
TAP155991,KY,SCOTT,GEORGETOWN,69,69,3,38.30222659,-84.56394291,-84.56394290999998,38.30222658999999
TAP155996,IN,VANDERBURGH,EVANSVILLE,69,69,3,37.991802,-87.487814,-87.487814,37.99180199999999
TAP155992,KY,CARROLL,CARROLLTON,138,138,3,38.69786654,-85.10885524,-85.10885524,38.69786653999999
TAP155997,IN,VANDERBURGH,EVANSVILLE,69,69,3,37.99215885,-87.54758897,-87.54758897,37.99215885
UNKNOWN155998,IN,VANDERBURGH,EVANSVILLE,69,69,1,37.99113687,-87.55186248,-87.55186248000001,37.99113686999999
TAP155999,IN,VANDERBURGH,EVANSVILLE,69,69,3,37.9911797,-87.55216705,-87.55216705,37.99117970000001
TAP156000,IN,VANDERBURGH,EVANSVILLE,69,69,3,37.98092422,-87.55315691,-87.55315691,37.98092422
TAP156001,IN,VANDERBURGH,EVANSVILLE,69,69,3,37.9553842,-87.52968781,-87.52968781,37.9553842
TAP156002,IN,VANDERBURGH,EVANSVILLE,69,69,3,37.95547553,-87.53892954,-87.53892954000001,37.95547553000001
TAP156003,IN,DUBOIS,JASPER,69,69,3,38.42241737,-86.92871169,-86.92871169,38.42241737
TAP156004,IN,DUBOIS,JASPER,69,69,3,38.37597477,-86.93032831,-86.93032831,38.37597476999999
TAP156005,IN,DUBOIS,JASPER,69,69,3,38.366547,-86.930174,-86.930174,38.366547
TAP156006,IN,DUBOIS,HUNTINGBURG,69,69,3,38.29897,-86.923964,-86.923964,38.29896999999998
